Date,Price,Open,High,Low,Vol.,Change %
08-08-24,77.5,77.5,77.5,77.5,,0.74%
08-07-24,76.93,76.94,76.94,76.94,,2.11%
08-06-24,75.35,75.35,75.35,75.35,,0.09%
08-05-24,75.28,75.28,75.28,75.28,,-1.33%
08-02-24,76.3,76.3,76.3,76.3,,-2.97%
08-01-24,78.63,78.63,78.63,78.63,,-6.20%
07/31/2024,83.83,83.83,83.83,83.83,,0.12%
07/30/2024,83.73,83.73,83.73,83.73,,-0.03%
07/29/2024,83.75,83.75,83.75,83.75,,-0.16%
07/26/2024,83.88,83.88,83.88,83.88,,-0.23%
07/25/2024,84.07,84.07,84.07,84.07,,0.17%
07/24/2024,83.93,83.93,83.93,83.93,,0.19%
07/23/2024,83.78,83.78,83.78,83.78,,-0.44%
07/22/2024,84.15,84.15,84.15,84.15,,-0.07%
07/19/2024,84.21,84.21,84.21,84.21,,-1.00%
07/18/2024,85.06,85.06,85.06,85.06,,-0.17%
07/17/2024,85.21,85.21,85.21,85.21,,0.76%
07/16/2024,84.57,84.57,84.57,84.57,,-0.66%
07/15/2024,85.13,85.13,85.13,85.13,,0.02%
07-12-24,85.11,85.11,85.11,85.11,,-0.51%
07-11-24,85.55,85.55,85.55,85.55,,0.15%
07-10-24,85.42,85.42,85.42,85.42,,0.24%
07-09-24,85.21,85.21,85.21,85.21,,-0.95%
07-08-24,86.03,86.03,86.03,86.03,,-0.52%
07-05-24,86.48,86.48,86.48,86.48,,-0.77%
07-03-24,87.15,87.15,87.15,87.15,,1.39%
07-02-24,85.95,85.95,85.95,85.95,,-0.63%
07-01-24,86.5,86.5,86.5,86.5,,4.78%
06/28/2024,82.55,82.55,82.55,82.55,,0.07%
06/27/2024,82.49,82.49,82.49,82.49,,0.03%
06/26/2024,82.47,82.47,82.47,82.47,,0.05%
06/25/2024,82.42,82.42,82.42,82.42,,-0.22%
06/24/2024,82.6,82.6,82.6,82.6,,0.22%
06/21/2024,82.42,82.42,82.42,82.42,,-0.18%
06/20/2024,82.57,82.57,82.57,82.57,,0.10%
06/18/2024,82.49,82.49,82.49,82.49,,0.41%
06/17/2024,82.15,82.15,82.15,82.15,,0.76%
06/14/2024,81.53,81.53,81.53,81.53,,-0.09%
06/13/2024,81.6,81.6,81.6,81.6,,-0.10%
06-12-24,81.68,81.68,81.68,81.68,,0.40%
06-11-24,81.36,81.36,81.36,81.36,,0.12%
06-10-24,81.26,81.26,81.26,81.26,,1.84%
06-07-24,79.79,79.79,79.79,79.79,,-0.27%
06-06-24,80.01,80.01,80.01,80.01,,1.45%
06-05-24,78.87,78.87,78.87,78.87,,0.52%
06-04-24,78.46,78.46,78.46,78.46,,-0.90%
06-03-24,79.17,79.17,79.17,79.17,,-5.79%
05/31/2024,84.04,84.03,84.03,84.03,,0.04%
05/30/2024,84,84,84,84,,-0.06%
05/29/2024,84.05,84.05,84.05,84.05,,-0.12%
05/28/2024,84.15,84.15,84.15,84.15,,0.39%
05/24/2024,83.83,83.83,83.83,83.83,,0.22%
05/23/2024,83.65,83.65,83.65,83.65,,-0.14%
05/22/2024,83.76,83.76,83.76,83.76,,-0.43%
05/21/2024,84.13,84.13,84.13,84.13,,-0.24%
05/20/2024,84.33,84.33,84.33,84.33,,-0.06%
05/17/2024,84.38,84.38,84.38,84.38,,0.52%
05/16/2024,83.94,83.94,83.94,83.94,,0.33%
05/15/2024,83.67,83.67,83.67,83.67,,0.13%
05/14/2024,83.56,83.56,83.56,83.56,,-0.70%
05/13/2024,84.14,84.14,84.14,84.14,,0.59%
05-10-24,83.65,83.65,83.65,83.65,,-0.64%
05-09-24,84.18,84.19,84.19,84.19,,0.03%
05-08-24,84.16,84.16,84.16,84.16,,0.70%
05-07-24,83.57,83.57,83.57,83.57,,0.02%
05-06-24,83.56,83.56,83.56,83.56,,0.43%
05-03-24,83.2,83.2,83.2,83.2,,-0.80%
05-02-24,83.87,83.87,83.87,83.87,,0.49%
05-01-24,83.46,83.46,83.46,83.46,,-6.41%
04/30/2024,89.17,89.17,89.17,89.17,,0.07%
04/29/2024,89.11,89.11,89.11,89.11,,-0.09%
04/26/2024,89.19,89.19,89.19,89.19,,0.00%
04/25/2024,89.18,89.19,89.19,89.19,,0.18%
04/24/2024,89.02,89.02,89.02,89.02,,-0.02%
04/23/2024,89.04,89.04,89.04,89.04,,0.35%
04/22/2024,88.72,88.72,88.72,88.72,,-0.10%
04/19/2024,88.82,88.81,88.81,88.81,,0.00%
04/18/2024,88.81,88.81,88.81,88.81,,-0.03%
04/17/2024,88.84,88.84,88.84,88.84,,-1.19%
04/16/2024,89.91,89.91,89.91,89.91,,-0.05%
04/15/2024,89.96,89.96,89.96,89.96,,-0.29%
04-12-24,90.22,90.22,90.22,90.22,,0.48%
04-11-24,89.79,89.79,89.79,89.79,,-0.38%
04-10-24,90.13,90.13,90.13,90.13,,0.78%
04-09-24,89.43,89.43,89.43,89.43,,-0.65%
04-08-24,90.02,90.02,90.02,90.02,,-0.80%
04-05-24,90.74,90.74,90.74,90.74,,0.24%
04-04-24,90.53,90.53,90.53,90.53,,1.01%
04-03-24,89.63,89.63,89.63,89.63,,0.43%
04-02-24,89.24,89.24,89.24,89.24,,1.67%
04-01-24,87.77,87.77,87.77,87.77,,4.30%
03/28/2024,84.15,84.15,84.15,84.15,,0.05%
03/27/2024,84.11,84.11,84.11,84.11,,-0.04%
