Gmt time,Open,High,Low,Close,Volume
20.09.2018 21:00:00.000,3440,3492,3427,3492,355639596.8627
21.09.2018 21:00:00.000,3492,3492,3492,3492,0
22.09.2018 21:00:00.000,3492,3492,3492,3492,0
23.09.2018 21:00:00.000,3492,3492,3492,3492,0
24.09.2018 21:00:00.000,3494,3519,3402,3506,444797204.5345999
25.09.2018 21:00:00.000,3473,3490,3322,3424,109744398.71309999
26.09.2018 21:00:00.000,3456,3474,3400,3407,3991999.9986999994
27.09.2018 21:00:00.000,3454,3461,3412,3440,4269999.9809
28.09.2018 21:00:00.000,3440,3440,3440,3440,0
29.09.2018 21:00:00.000,3440,3440,3440,3440,0
30.09.2018 21:00:00.000,3388,3461,3378,3434,4407999.9626
01.10.2018 21:00:00.000,3457,3500,3452,3482,4453999.8769000005
02.10.2018 21:00:00.000,3429,3434,3337,3339,4851999.9087000005
03.10.2018 21:00:00.000,3385,3393,3338,3343,5046000.0933
04.10.2018 21:00:00.000,3310,3340,3308,3327,1140000.0165
05.10.2018 21:00:00.000,3327,3327,3327,3327,0
06.10.2018 21:00:00.000,3327,3327,3327,3327,0
07.10.2018 21:00:00.000,3327,3327,3327,3327,0
08.10.2018 21:00:00.000,3244,3246,3211,3227,4157999.9924
09.10.2018 21:00:00.000,3230,3241,3182,3200,4664999.931999999
10.10.2018 21:00:00.000,3100,3112,3065,3080,7152000.0099
11.10.2018 21:00:00.000,3051,3090,3050,3089,506999.99530000007
12.10.2018 21:00:00.000,3089,3089,3089,3089,0
13.10.2018 21:00:00.000,3089,3089,3089,3089,0
14.10.2018 21:00:00.000,3052,3056,3004,3010,5579999.923599999
15.10.2018 21:00:00.000,3023,3067,3015,3063,5422000.0505
16.10.2018 21:00:00.000,3079,3096,3067,3096,1133999.9845
17.10.2018 21:00:00.000,3094,3103,3077,3088,1831000.0261
18.10.2018 21:00:00.000,3048,3063,3031,3061,1647999.9886999999
19.10.2018 21:00:00.000,3061,3061,3061,3061,0
20.10.2018 21:00:00.000,3061,3061,3061,3061,0
21.10.2018 21:00:00.000,3045,3087,3029,3075,5873999.8937
22.10.2018 21:00:00.000,3050,3055,3007,3007,4677000.0457999995
23.10.2018 21:00:00.000,3043,3044,3000,3015,3303999.9881
24.10.2018 21:00:00.000,2938,2965,2916,2923,8012999.892200001
25.10.2018 21:00:00.000,2965,2995,2938,2976,5565000.0572999995
26.10.2018 21:00:00.000,2976,2976,2976,2976,0
27.10.2018 21:00:00.000,2976,2976,2976,2976,0
28.10.2018 21:00:00.000,2991,3027,2976,2983,5753999.8889
29.10.2018 21:00:00.000,2987,3031,2974,3029,2305000.0073
30.10.2018 21:00:00.000,3122,3237,3119,3236,4916000.068299999
31.10.2018 21:00:00.000,3245,3285,3233,3247,3024999.9704
01.11.2018 21:00:00.000,3242,3263,3188,3247,5591999.9777
02.11.2018 21:00:00.000,3247,3247,3247,3247,0
03.11.2018 21:00:00.000,3247,3247,3247,3247,0
04.11.2018 22:00:00.000,3181,3241,3161,3214,4722999.9603
05.11.2018 22:00:00.000,3231,3319,3226,3309,3542999.9531
06.11.2018 22:00:00.000,3285,3308,3215,3230,6740999.9372
07.11.2018 22:00:00.000,3279,3279,3243,3257,3867000.043400001
08.11.2018 22:00:00.000,3243,3289,3241,3280,4032999.9925
09.11.2018 22:00:00.000,3280,3280,3280,3280,0
10.11.2018 22:00:00.000,3280,3280,3280,3280,0
11.11.2018 22:00:00.000,3251,3282,3237,3273,4501000.136
12.11.2018 22:00:00.000,3213,3215,3149,3207,4743999.9876999995
13.11.2018 22:00:00.000,3219,3290,3215,3219,5281000.1074
14.11.2018 22:00:00.000,3208,3212,3182,3205,2381000.0305
15.11.2018 22:00:00.000,3207,3228,3166,3173,4411000.0432
16.11.2018 22:00:00.000,3173,3173,3173,3173,0
17.11.2018 22:00:00.000,3173,3173,3173,3173,0
18.11.2018 22:00:00.000,3173,3195,3149,3179,4241000.0562
19.11.2018 22:00:00.000,3150,3190,3149,3170,4410000.0263
20.11.2018 22:00:00.000,3106,3150,3101,3146,4770999.9084
21.11.2018 22:00:00.000,3142,3168,3129,3160,3700999.9752
22.11.2018 22:00:00.000,3160,3160,3160,3160,0
23.11.2018 22:00:00.000,3160,3160,3160,3160,0
24.11.2018 22:00:00.000,3160,3160,3160,3160,0
25.11.2018 22:00:00.000,3127,3161,3112,3155,4549999.9524
26.11.2018 22:00:00.000,3210,3220,3178,3207,3172000.0208
27.11.2018 22:00:00.000,3185,3193,3137,3162,3128000.0508000003
28.11.2018 22:00:00.000,3151,3172,3134,3144,3140000.0155
29.11.2018 22:00:00.000,3161,3223,3159,3198,2530000.0309
30.11.2018 22:00:00.000,3198,3198,3198,3198,0
01.12.2018 22:00:00.000,3198,3198,3198,3198,0
02.12.2018 22:00:00.000,3248,3248,3212,3228,241999.9984
03.12.2018 22:00:00.000,3288,3288,3180,3188,3906999.9456
04.12.2018 22:00:00.000,3116,3131,3086,3112,4258999.943700001
05.12.2018 22:00:00.000,3108,3122,3062,3073,4921999.901500001
06.12.2018 22:00:00.000,3099,3106,3066,3088,4522999.9722
07.12.2018 22:00:00.000,3088,3088,3088,3088,0
08.12.2018 22:00:00.000,3088,3088,3088,3088,0
09.12.2018 22:00:00.000,3005,3039,3000,3026,4218000.0543
10.12.2018 22:00:00.000,3040,3043,2986,3021,4744999.945099999
11.12.2018 22:00:00.000,3068,3100,3055,3084,4830000.042900001
12.12.2018 22:00:00.000,3103,3134,3095,3109,4168000.0126
13.12.2018 22:00:00.000,3075,3101,3042,3048,4934000.0153
14.12.2018 22:00:00.000,3048,3048,3048,3048,0
15.12.2018 22:00:00.000,3048,3048,3048,3048,0
16.12.2018 22:00:00.000,3061,3075,3044,3046,4405999.9884
17.12.2018 22:00:00.000,3040,3066,3011,3031,5073999.9414
18.12.2018 22:00:00.000,3033,3062,3017,3052,4873000.0257
19.12.2018 22:00:00.000,3018,3034,2951,2966,6997999.8469
20.12.2018 22:00:00.000,2957,2972,2913,2923,6371999.978999999
21.12.2018 22:00:00.000,2923,2923,2923,2923,0
22.12.2018 22:00:00.000,2923,2923,2923,2923,0
23.12.2018 22:00:00.000,2923,2923,2923,2923,0
24.12.2018 22:00:00.000,2923,2923,2923,2923,0
25.12.2018 22:00:00.000,2776,2798,2727,2778,6582999.9149
26.12.2018 22:00:00.000,2872,2917,2855,2890,5957000.0172
27.12.2018 22:00:00.000,2879,2911,2849,2893,3148000.0018
28.12.2018 22:00:00.000,2893,2893,2893,2893,0
29.12.2018 22:00:00.000,2893,2893,2893,2893,0
30.12.2018 22:00:00.000,2893,2893,2893,2893,0
31.12.2018 22:00:00.000,2893,2893,2893,2893,0
01.01.2019 22:00:00.000,2893,2893,2893,2893,0
02.01.2019 22:00:00.000,2893,2893,2893,2893,0
03.01.2019 22:00:00.000,2796,2879,2792,2877,5225000.0835
04.01.2019 22:00:00.000,2877,2877,2877,2877,0
05.01.2019 22:00:00.000,2877,2877,2877,2877,0
06.01.2019 22:00:00.000,2958,3007,2947,2983,5945999.9203
07.01.2019 22:00:00.000,3021,3115,3020,3090,2418999.9699
08.01.2019 22:00:00.000,3116,3127,3083,3122,5339999.9737
09.01.2019 22:00:00.000,3070,3105,3061,3094,6388999.939000001
10.01.2019 22:00:00.000,3125,3175,3114,3168,4724000.0068
11.01.2019 22:00:00.000,3168,3168,3168,3168,0
12.01.2019 22:00:00.000,3168,3168,3168,3168,0
13.01.2019 22:00:00.000,3168,3168,3168,3168,0
14.01.2019 22:00:00.000,3172,3216,3161,3214,5314999.878500001
15.01.2019 22:00:00.000,3182,3206,3168,3206,1388000.0111
16.01.2019 22:00:00.000,3206,3219,3183,3203,4142999.947
17.01.2019 22:00:00.000,3208,3226,3195,3217,4041999.9957
18.01.2019 22:00:00.000,3217,3217,3217,3217,0
19.01.2019 22:00:00.000,3217,3217,3217,3217,0
20.01.2019 22:00:00.000,3247,3262,3236,3262,483000.0063
21.01.2019 22:00:00.000,3255,3272,3223,3231,4649000.1083
