Gmt time,Open,High,Low,Close,Volume
25.09.2018 21:00:00.000,1993,1993,1966,1987,4540999.9787
26.09.2018 21:00:00.000,1976,2012,1974,1991,4790000.021299999
27.09.2018 21:00:00.000,2016,2027,2003,2021,4742000.0731999995
28.09.2018 21:00:00.000,2021,2021,2021,2021,0
29.09.2018 21:00:00.000,2021,2021,2021,2021,0
30.09.2018 21:00:00.000,2018,2032,2006,2031,4277000.01
01.10.2018 21:00:00.000,2050,2079,2050,2075,4930999.9645
02.10.2018 21:00:00.000,2072,2099,2069,2091,4313999.9806
03.10.2018 21:00:00.000,2107,2119,2097,2105,5131999.939499999
04.10.2018 21:00:00.000,2080,2108,2076,2096,4838999.9269
05.10.2018 21:00:00.000,2096,2096,2096,2096,0
06.10.2018 21:00:00.000,2096,2096,2096,2096,0
07.10.2018 21:00:00.000,2096,2096,2096,2096,0
08.10.2018 21:00:00.000,2078,2088,2069,2071,2948000.0437000003
09.10.2018 21:00:00.000,2068,2097,2061,2087,5546999.990900001
10.10.2018 21:00:00.000,1988,2035,1988,2002,5241999.9241
11.10.2018 21:00:00.000,1986,1997,1969,1975,4789000.093900001
12.10.2018 21:00:00.000,1975,1975,1975,1975,0
13.10.2018 21:00:00.000,1975,1975,1975,1975,0
14.10.2018 21:00:00.000,1955,1970,1940,1958,5488000.0353999995
15.10.2018 21:00:00.000,1953,1985,1952,1980,5647000.0149
16.10.2018 21:00:00.000,2000,2003,1982,1992,5041000.098
17.10.2018 21:00:00.000,2007,2012,1981,1983,5063999.8913
18.10.2018 21:00:00.000,1959,1971,1955,1963,4836000.0253
19.10.2018 21:00:00.000,1963,1963,1963,1963,0
20.10.2018 21:00:00.000,1963,1963,1963,1963,0
21.10.2018 21:00:00.000,1947,1976,1946,1968,4347999.989899999
22.10.2018 21:00:00.000,1955,1955,1905,1907,4270999.9977
23.10.2018 21:00:00.000,1911,1920,1883,1890,3921000.0336
24.10.2018 21:00:00.000,1842,1873,1839,1845,4490000.0393
25.10.2018 21:00:00.000,1868,1872,1837,1847,4974999.9344999995
26.10.2018 21:00:00.000,1847,1847,1847,1847,0
27.10.2018 21:00:00.000,1847,1847,1847,1847,0
28.10.2018 21:00:00.000,1859,1880,1851,1862,5393000.0365
29.10.2018 21:00:00.000,1866,1914,1825,1831,5015999.9132
30.10.2018 21:00:00.000,1874,1889,1859,1883,3532000.0052999994
31.10.2018 21:00:00.000,1880,1882,1849,1851,3412000.0154
01.11.2018 21:00:00.000,1861,1881,1836,1879,5686000.1385
02.11.2018 21:00:00.000,1879,1879,1879,1879,0
03.11.2018 21:00:00.000,1879,1879,1879,1879,0
04.11.2018 22:00:00.000,1865,1865,1827,1831,5293000.1019
05.11.2018 22:00:00.000,1850,1904,1849,1901,3116000.0265
06.11.2018 22:00:00.000,1894,1908,1847,1852,4872000.068399999
07.11.2018 22:00:00.000,1884,1913,1884,1904,3508999.973599999
08.11.2018 22:00:00.000,1896,1911,1885,1890,2525000.0059
09.11.2018 22:00:00.000,1890,1890,1890,1890,0
10.11.2018 22:00:00.000,1890,1890,1890,1890,0
11.11.2018 22:00:00.000,1878,1895,1872,1893,2688000.0232999995
12.11.2018 22:00:00.000,1861,1862,1831,1846,5197000.056500001
13.11.2018 22:00:00.000,1826,1832,1788,1789,2536999.9111
14.11.2018 22:00:00.000,1790,1800,1784,1798,4284999.9666
15.11.2018 22:00:00.000,1799,1808,1785,1790,5395000.0106
16.11.2018 22:00:00.000,1790,1790,1790,1790,0
17.11.2018 22:00:00.000,1790,1790,1790,1790,0
18.11.2018 22:00:00.000,1777,1792,1764,1771,5424999.9523
19.11.2018 22:00:00.000,1751,1789,1751,1788,6415999.8893
20.11.2018 22:00:00.000,1749,1762,1740,1755,6012000.0839
21.11.2018 22:00:00.000,1772,1773,1751,1766,5778999.954399999
22.11.2018 22:00:00.000,1766,1766,1766,1766,0
23.11.2018 22:00:00.000,1766,1766,1766,1766,0
24.11.2018 22:00:00.000,1766,1766,1766,1766,0
25.11.2018 22:00:00.000,1721,1748,1721,1747,5171000.0634
26.11.2018 22:00:00.000,1766,1779,1751,1774,4713999.926999999
27.11.2018 22:00:00.000,1768,1768,1737,1745,4544999.9571
28.11.2018 22:00:00.000,1756,1772,1754,1758,4292000.0554
29.11.2018 22:00:00.000,1759,1783,1758,1773,4506999.9993
