Gmt time,tona_rate,sonia_rate,tona_sonia_difference
2014-01-06,0.072,0.4304,0.3584
2014-01-07,0.071,0.4332,0.36219999999999997
2014-01-08,0.071,0.4282,0.3572
2014-01-09,0.073,0.4284,0.3554
2014-01-10,0.074,0.4272,0.3532
2014-01-11,0.074,0.4272,0.3532
2014-01-12,0.074,0.4272,0.3532
2014-01-13,0.074,0.4272,0.3532
2014-01-14,0.072,0.4284,0.3564
2014-01-15,0.072,0.4308,0.3588
2014-01-16,0.071,0.4371,0.3661
2014-01-17,0.071,0.4246,0.35359999999999997
2014-01-18,0.071,0.4246,0.35359999999999997
2014-01-19,0.071,0.4246,0.35359999999999997
2014-01-20,0.072,0.4303,0.3583
2014-01-21,0.071,0.4313,0.3603
2014-01-22,0.071,0.4287,0.3577
2014-01-23,0.072,0.4336,0.3616
2014-01-24,0.072,0.4289,0.3569
2014-01-25,0.072,0.4289,0.3569
2014-01-26,0.072,0.4289,0.3569
2014-01-27,0.072,0.4253,0.3533
2014-01-28,0.07,0.4343,0.3643
2014-01-29,0.091,0.4273,0.33630000000000004
2014-01-30,0.07,0.4342,0.36419999999999997
2014-01-31,0.071,0.4104,0.3394
2014-02-01,0.071,0.4104,0.3394
2014-02-02,0.071,0.4104,0.3394
2014-02-03,0.074,0.4339,0.3599
2014-02-04,0.082,0.4319,0.3499
2014-02-05,0.08,0.4271,0.34709999999999996
2014-02-06,0.079,0.4296,0.35059999999999997
2014-02-07,0.072,0.4245,0.3525
2014-02-08,0.072,0.4245,0.3525
2014-02-09,0.072,0.4245,0.3525
2014-02-10,0.074,0.4222,0.3482
2014-02-11,0.074,0.4222,0.3482
2014-02-12,0.079,0.4166,0.3376
2014-02-13,0.077,0.4199,0.3429
2014-02-14,0.071,0.4216,0.35059999999999997
2014-02-15,0.071,0.4216,0.35059999999999997
2014-02-16,0.071,0.4216,0.35059999999999997
2014-02-17,0.075,0.4315,0.3565
2014-02-18,0.071,0.4116,0.3406
2014-02-19,0.079,0.4134,0.3344
2014-02-20,0.086,0.4142,0.32820000000000005
2014-02-21,0.079,0.4199,0.3409
2014-02-22,0.079,0.4199,0.3409
2014-02-23,0.079,0.4199,0.3409
2014-02-24,0.073,0.4185,0.3455
2014-02-25,0.08,0.418,0.33799999999999997
2014-02-26,0.079,0.4189,0.3399
2014-02-27,0.073,0.4109,0.3379
2014-02-28,0.072,0.3904,0.3184
2014-03-01,0.072,0.3904,0.3184
2014-03-02,0.072,0.3904,0.3184
2014-03-03,0.074,0.4197,0.3457
2014-03-04,0.074,0.4188,0.3448
2014-03-05,0.078,0.4209,0.3429
2014-03-06,0.075,0.4196,0.34459999999999996
2014-03-07,0.073,0.4181,0.3451
2014-03-08,0.073,0.4181,0.3451
2014-03-09,0.073,0.4181,0.3451
2014-03-10,0.075,0.4129,0.3379
2014-03-11,0.075,0.4202,0.3452
2014-03-12,0.075,0.4197,0.3447
2014-03-13,0.073,0.4173,0.3443
2014-03-14,0.072,0.4162,0.3442
2014-03-15,0.072,0.4162,0.3442
2014-03-16,0.072,0.4162,0.3442
2014-03-17,0.074,0.4197,0.3457
2014-03-18,0.08,0.4163,0.3363
2014-03-19,0.077,0.418,0.34099999999999997
2014-03-20,0.072,0.4293,0.3573
2014-03-21,0.072,0.4293,0.3573
2014-03-22,0.072,0.4293,0.3573
2014-03-23,0.072,0.4293,0.3573
2014-03-24,0.073,0.4208,0.3478
2014-03-25,0.069,0.4234,0.3544
2014-03-26,0.07,0.425,0.355
2014-03-27,0.07,0.4233,0.3533
2014-03-28,0.069,0.421,0.352
2014-03-29,0.069,0.421,0.352
2014-03-30,0.069,0.421,0.352
2014-03-31,0.044,0.3342,0.2902
2014-04-01,0.065,0.4168,0.3518
2014-04-02,0.064,0.4209,0.3569
2014-04-03,0.064,0.4224,0.3584
2014-04-04,0.066,0.4174,0.3514
2014-04-05,0.066,0.4174,0.3514
2014-04-06,0.066,0.4174,0.3514
2014-04-07,0.065,0.4255,0.3605
2014-04-08,0.065,0.4237,0.3587
2014-04-09,0.064,0.425,0.361
2014-04-10,0.065,0.4275,0.3625
2014-04-11,0.065,0.422,0.357
2014-04-12,0.065,0.422,0.357
2014-04-13,0.065,0.422,0.357
2014-04-14,0.065,0.4235,0.3585
2014-04-15,0.064,0.43,0.366
2014-04-16,0.064,0.4275,0.3635
2014-04-17,0.064,0.4265,0.3625
2014-04-18,0.064,0.4265,0.3625
2014-04-19,0.064,0.4265,0.3625
2014-04-20,0.064,0.4265,0.3625
2014-04-21,0.064,0.4265,0.3625
2014-04-22,0.065,0.424,0.359
2014-04-23,0.065,0.4225,0.3575
2014-04-24,0.065,0.4215,0.3565
2014-04-25,0.067,0.4208,0.3538
2014-04-26,0.067,0.4208,0.3538
2014-04-27,0.067,0.4208,0.3538
2014-04-28,0.067,0.4234,0.3564
2014-04-29,0.067,0.4234,0.3564
2014-04-30,0.065,0.3984,0.3334
2014-05-01,0.065,0.4205,0.3555
2014-05-02,0.067,0.4178,0.3508
2014-05-03,0.067,0.4178,0.3508
2014-05-04,0.067,0.4178,0.3508
2014-05-05,0.067,0.4178,0.3508
2014-05-06,0.067,0.4178,0.3508
2014-05-07,0.064,0.4251,0.3611
2014-05-08,0.065,0.4255,0.3605
2014-05-09,0.065,0.4254,0.3604
2014-05-10,0.065,0.4254,0.3604
2014-05-11,0.065,0.4254,0.3604
2014-05-12,0.065,0.4219,0.3569
2014-05-13,0.066,0.4224,0.3564
2014-05-14,0.067,0.4249,0.3579
2014-05-15,0.065,0.4271,0.3621
2014-05-16,0.067,0.426,0.359
2014-05-17,0.067,0.426,0.359
2014-05-18,0.067,0.426,0.359
2014-05-19,0.067,0.4254,0.3584
2014-05-20,0.067,0.4229,0.3559
2014-05-21,0.089,0.4228,0.3338
2014-05-22,0.067,0.4222,0.3552
2014-05-23,0.068,0.4294,0.3614
2014-05-24,0.068,0.4294,0.3614
2014-05-25,0.068,0.4294,0.3614
2014-05-26,0.068,0.4294,0.3614
2014-05-27,0.066,0.4223,0.3563
2014-05-28,0.065,0.4254,0.3604
2014-05-29,0.07,0.4234,0.3534
2014-05-30,0.069,0.4169,0.3479
2014-05-31,0.069,0.4169,0.3479
2014-06-01,0.069,0.4169,0.3479
2014-06-02,0.067,0.4186,0.3516
2014-06-03,0.066,0.4126,0.3466
2014-06-04,0.066,0.4172,0.3512
2014-06-05,0.067,0.4342,0.36719999999999997
2014-06-06,0.069,0.4287,0.3597
2014-06-07,0.069,0.4287,0.3597
2014-06-08,0.069,0.4287,0.3597
2014-06-09,0.069,0.4237,0.3547
2014-06-10,0.07,0.4261,0.35609999999999997
2014-06-11,0.071,0.4251,0.35409999999999997
2014-06-12,0.071,0.4253,0.3543
2014-06-13,0.069,0.4407,0.3717
2014-06-14,0.069,0.4407,0.3717
2014-06-15,0.069,0.4407,0.3717
2014-06-16,0.067,0.428,0.361
2014-06-17,0.066,0.4252,0.3592
2014-06-18,0.068,0.4298,0.3618
2014-06-19,0.066,0.4349,0.3689
2014-06-20,0.066,0.438,0.372
2014-06-21,0.066,0.438,0.372
2014-06-22,0.066,0.438,0.372
2014-06-23,0.065,0.426,0.361
2014-06-24,0.066,0.4282,0.3622
2014-06-25,0.069,0.4275,0.3585
2014-06-26,0.066,0.4213,0.3553
2014-06-27,0.066,0.4351,0.3691
2014-06-28,0.066,0.4351,0.3691
2014-06-29,0.066,0.4351,0.3691
2014-06-30,0.058,0.3807,0.3227
2014-07-01,0.065,0.4347,0.3697
2014-07-02,0.065,0.4371,0.3721
2014-07-03,0.065,0.423,0.358
2014-07-04,0.066,0.4228,0.3568
2014-07-05,0.066,0.4228,0.3568
2014-07-06,0.066,0.4228,0.3568
2014-07-07,0.065,0.4301,0.3651
2014-07-08,0.066,0.4307,0.3647
2014-07-09,0.066,0.4315,0.3655
2014-07-10,0.064,0.4282,0.3642
2014-07-11,0.065,0.4277,0.3627
2014-07-12,0.065,0.4277,0.3627
2014-07-13,0.065,0.4277,0.3627
2014-07-14,0.066,0.4291,0.3631
2014-07-15,0.065,0.4297,0.3647
2014-07-16,0.065,0.4263,0.3613
2014-07-17,0.065,0.4265,0.3615
2014-07-18,0.068,0.4263,0.3583
2014-07-19,0.068,0.4263,0.3583
2014-07-20,0.068,0.4263,0.3583
2014-07-21,0.068,0.4263,0.3583
2014-07-22,0.066,0.4307,0.3647
2014-07-23,0.067,0.4333,0.3663
2014-07-24,0.067,0.4349,0.3679
2014-07-25,0.07,0.4247,0.3547
2014-07-26,0.07,0.4247,0.3547
2014-07-27,0.07,0.4247,0.3547
2014-07-28,0.066,0.4324,0.3664
2014-07-29,0.066,0.4279,0.3619
2014-07-30,0.065,0.4367,0.3717
2014-07-31,0.065,0.4045,0.3395
2014-08-01,0.068,0.4228,0.3548
2014-08-02,0.068,0.4228,0.3548
2014-08-03,0.068,0.4228,0.3548
2014-08-04,0.067,0.4248,0.3578
2014-08-05,0.072,0.4282,0.3562
2014-08-06,0.069,0.4244,0.3554
2014-08-07,0.07,0.425,0.355
2014-08-08,0.068,0.4218,0.3538
2014-08-09,0.068,0.4218,0.3538
2014-08-10,0.068,0.4218,0.3538
2014-08-11,0.066,0.4258,0.3598
2014-08-12,0.067,0.4212,0.3542
2014-08-13,0.067,0.4211,0.35409999999999997
2014-08-14,0.068,0.4183,0.3503
2014-08-15,0.068,0.4224,0.3544
2014-08-16,0.068,0.4224,0.3544
2014-08-17,0.068,0.4224,0.3544
2014-08-18,0.066,0.4224,0.3564
2014-08-19,0.067,0.4265,0.3595
2014-08-20,0.073,0.4233,0.3503
2014-08-21,0.067,0.4257,0.3587
2014-08-22,0.068,0.4142,0.3462
2014-08-23,0.068,0.4142,0.3462
2014-08-24,0.068,0.4142,0.3462
2014-08-25,0.068,0.4142,0.3462
2014-08-26,0.071,0.4254,0.3544
2014-08-27,0.067,0.4265,0.3595
2014-08-28,0.074,0.4359,0.3619
2014-08-29,0.07,0.4005,0.3305
2014-08-30,0.07,0.4005,0.3305
2014-08-31,0.07,0.4005,0.3305
2014-09-01,0.068,0.4375,0.3695
2014-09-02,0.07,0.4326,0.3626
2014-09-03,0.069,0.4303,0.3613
2014-09-04,0.074,0.4292,0.3552
2014-09-05,0.07,0.4293,0.3593
2014-09-06,0.07,0.4293,0.3593
2014-09-07,0.07,0.4293,0.3593
2014-09-08,0.067,0.4311,0.3641
2014-09-09,0.067,0.4294,0.3624
2014-09-10,0.071,0.4291,0.3581
2014-09-11,0.067,0.4288,0.3618
2014-09-12,0.07,0.4316,0.3616
2014-09-13,0.07,0.4316,0.3616
2014-09-14,0.07,0.4316,0.3616
2014-09-15,0.07,0.4316,0.3616
2014-09-16,0.067,0.4339,0.3669
2014-09-17,0.066,0.4301,0.3641
2014-09-18,0.068,0.4288,0.3608
2014-09-19,0.069,0.4249,0.3559
2014-09-20,0.069,0.4249,0.3559
2014-09-21,0.069,0.4249,0.3559
2014-09-22,0.065,0.4258,0.3608
2014-09-23,0.065,0.4258,0.3608
2014-09-24,0.066,0.4418,0.3758
2014-09-25,0.073,0.428,0.355
2014-09-26,0.066,0.4512,0.3852
2014-09-27,0.066,0.4512,0.3852
2014-09-28,0.066,0.4512,0.3852
2014-09-29,0.066,0.4506,0.3846
2014-09-30,0.029,0.4027,0.3737
2014-10-01,0.049,0.4285,0.3795
2014-10-02,0.056,0.4298,0.3738
2014-10-03,0.061,0.4331,0.3721
2014-10-04,0.061,0.4331,0.3721
2014-10-05,0.061,0.4331,0.3721
2014-10-06,0.06,0.431,0.371
2014-10-07,0.059,0.4271,0.3681
2014-10-08,0.059,0.4299,0.3709
2014-10-09,0.059,0.4321,0.3731
2014-10-10,0.06,0.4265,0.3665
2014-10-11,0.06,0.4265,0.3665
2014-10-12,0.06,0.4265,0.3665
2014-10-13,0.06,0.4265,0.3665
2014-10-14,0.06,0.4335,0.3735
2014-10-15,0.061,0.429,0.368
2014-10-16,0.058,0.4314,0.3734
2014-10-17,0.059,0.4309,0.3719
2014-10-18,0.059,0.4309,0.3719
2014-10-19,0.059,0.4309,0.3719
2014-10-20,0.06,0.4284,0.3684
2014-10-21,0.06,0.4286,0.3686
2014-10-22,0.061,0.4287,0.3677
2014-10-23,0.06,0.4349,0.3749
2014-10-24,0.06,0.4278,0.3678
2014-10-25,0.06,0.4278,0.3678
2014-10-26,0.06,0.4278,0.3678
2014-10-27,0.059,0.4329,0.3739
2014-10-28,0.059,0.4358,0.3768
2014-10-29,0.059,0.4342,0.3752
2014-10-30,0.059,0.433,0.374
2014-10-31,0.06,0.4227,0.3627
2014-11-01,0.06,0.4227,0.3627
2014-11-02,0.06,0.4227,0.3627
2014-11-03,0.06,0.4227,0.3627
2014-11-04,0.061,0.4344,0.3734
2014-11-05,0.061,0.4327,0.3717
2014-11-06,0.061,0.4341,0.3731
2014-11-07,0.062,0.4358,0.3738
2014-11-08,0.062,0.4358,0.3738
2014-11-09,0.062,0.4358,0.3738
2014-11-10,0.068,0.4296,0.3616
2014-11-11,0.068,0.4314,0.3634
2014-11-12,0.065,0.4357,0.3707
2014-11-13,0.063,0.436,0.373
2014-11-14,0.066,0.4301,0.3641
2014-11-15,0.066,0.4301,0.3641
2014-11-16,0.066,0.4301,0.3641
2014-11-17,0.064,0.4334,0.3694
2014-11-18,0.065,0.4315,0.3665
2014-11-19,0.065,0.4307,0.3657
2014-11-20,0.066,0.4303,0.3643
2014-11-21,0.069,0.4294,0.3604
2014-11-22,0.069,0.4294,0.3604
2014-11-23,0.069,0.4294,0.3604
2014-11-24,0.069,0.4294,0.3604
2014-11-25,0.065,0.43,0.365
2014-11-26,0.066,0.4359,0.3699
2014-11-27,0.066,0.4391,0.3731
2014-11-28,0.067,0.4225,0.3555
2014-11-29,0.067,0.4225,0.3555
2014-11-30,0.067,0.4225,0.3555
2014-12-01,0.065,0.4359,0.3709
2014-12-02,0.065,0.4288,0.3638
2014-12-03,0.065,0.4274,0.3624
2014-12-04,0.065,0.4266,0.3616
2014-12-05,0.067,0.4266,0.3596
2014-12-06,0.067,0.4266,0.3596
2014-12-07,0.067,0.4266,0.3596
2014-12-08,0.065,0.4293,0.3643
2014-12-09,0.073,0.443,0.37
2014-12-10,0.067,0.4357,0.36869999999999997
2014-12-11,0.085,0.4363,0.3513
2014-12-12,0.068,0.4358,0.3678
2014-12-13,0.068,0.4358,0.3678
2014-12-14,0.068,0.4358,0.3678
2014-12-15,0.069,0.433,0.364
2014-12-16,0.067,0.4339,0.3669
2014-12-17,0.068,0.4299,0.3619
2014-12-18,0.066,0.4317,0.36569999999999997
2014-12-19,0.065,0.4319,0.3669
2014-12-20,0.065,0.4319,0.3669
2014-12-21,0.065,0.4319,0.3669
2014-12-22,0.066,0.428,0.362
2014-12-23,0.066,0.428,0.362
2014-12-24,0.067,0.4303,0.3633
2014-12-25,0.067,0.4303,0.3633
2014-12-26,0.067,0.4303,0.3633
2014-12-27,0.067,0.4303,0.3633
2014-12-28,0.067,0.4303,0.3633
2014-12-29,0.068,0.428,0.36
2014-12-30,0.066,0.4324,0.3664
2014-12-31,0.066,0.4324,0.3664
2015-01-01,0.066,0.4324,0.3664
2015-01-02,0.066,0.4324,0.3664
2015-01-03,0.066,0.4324,0.3664
2015-01-04,0.066,0.4324,0.3664
2015-01-05,0.07,0.4335,0.3635
2015-01-06,0.071,0.43,0.359
2015-01-07,0.073,0.4292,0.3562
2015-01-08,0.074,0.4339,0.3599
2015-01-09,0.075,0.4327,0.35769999999999996
2015-01-10,0.075,0.4327,0.35769999999999996
2015-01-11,0.075,0.4327,0.35769999999999996
2015-01-12,0.075,0.4327,0.35769999999999996
2015-01-13,0.074,0.4348,0.3608
2015-01-14,0.073,0.4334,0.3604
2015-01-15,0.074,0.4384,0.3644
2015-01-16,0.074,0.4372,0.36319999999999997
