index,Open,High,Low,Close,Volume,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume,AUDJPY_Open,AUDJPY_High,AUDJPY_Low,AUDJPY_Close,AUDJPY_Volume,USDJPY_Open,USDJPY_High,USDJPY_Low,USDJPY_Close,USDJPY_Volume,barclays_Open,barclays_High,barclays_Low,barclays_Close,barclays_Volume,mitsui_Open,mitsui_High,mitsui_Low,mitsui_Close,mitsui_Volume,nissan_Open,nissan_High,nissan_Low,nissan_Close,nissan_Volume,honda_Open,honda_High,honda_Low,honda_Close,honda_Volume,sony_Open,sony_High,sony_Low,sony_Close,sony_Volume,sonia_tona_diff_tona_sonia_difference,Close_weighted_moving_average,Close_weighted_moving_std_dev,Close_upper_band,Close_lower_band,Close_RSI
2018-01-10,148.537,148.719,147.194,146.695,175808.72989999998,131.867,131.997,130.712,131.199,203978970214.844,82.234,82.472,81.375,81.644,127180.3118,113.889,114.016,113.529,113.638,125629199066.16258,171.398,171.398,169.377,170.258,45141110.1819,2050.0,2079.0,2050.0,2075.0,4930999.9645,1048.0,1058.0,1045.0,1054.0,3455000.0131,3457.0,3500.0,3452.0,3482.0,4453999.8769000005,6917.0,6930.0,6791.0,6832.0,4457999.915,0.5007,,,,,
2018-01-11,146.539,147.254,146.283,144.622,240818.2864,128.561,129.322,128.366,128.879,242364250244.1407,81.202,81.94,81.029,81.459,170311.75150000004,112.694,113.321,112.56,113.181,157954571166.9927,178.738,180.618,176.297,176.518,33677941.799,1861.0,1881.0,1836.0,1879.0,5686000.1385,1024.0,1029.0,1014.0,1026.0,4531000.018100001,3242.0,3263.0,3188.0,3247.0,5591999.9777,6214.0,6263.0,6046.0,6189.0,3930999.9645,0.4955,,,,,0.0
2018-01-12,144.622,144.622,144.622,152.415,0.0,128.387,128.387,128.387,128.387,0.0,82.961,82.961,82.961,82.961,0.0,113.437,113.437,113.437,113.437,0.0,161.798,161.798,161.798,161.798,0.0,1773.0,1773.0,1773.0,1773.0,0.0,993.0,993.0,993.0,993.0,0.0,3198.0,3198.0,3198.0,3198.0,0.0,5921.0,5921.0,5921.0,5921.0,0.0,0.495,,,,,78.98844516521399
2018-01-13,152.415,152.415,152.415,152.406,0.0,135.497,135.497,135.497,135.497,0.0,87.849,87.849,87.849,87.849,0.0,111.018,111.018,111.018,111.018,0.0,194.718,194.718,194.718,194.718,0.0,,,,,,,,,,,,,,,,,,,,,0.495,,,,,78.91645569620276
2018-01-14,152.482,152.807,151.93,152.311,206895.0792,135.437,135.988,135.018,135.53,214494200683.594,87.77,88.166,87.669,88.016,127477.63970000004,111.076,111.183,110.327,110.525,143144029296.87546,198.497,199.357,194.758,195.138,31412717.8193,,,,,,,,,,,,,,,,,,,,,0.495,,,,,78.16449348044156
2018-01-15,152.409,153.096,152.047,153.909,222456.16230000005,135.528,136.097,134.978,135.411,228864478515.6251,88.018,88.415,87.72,87.883,141683.78009999997,110.525,110.981,110.246,110.448,160889359130.8596,194.858,200.198,194.478,198.857,55307331.0852,,,,,,,,,,,,,,,,,,,,,0.4928,,,,,81.18084370677751
2018-01-16,152.297,154.281,152.147,154.305,252925.8414,135.398,135.985,135.155,135.611,245722708740.2344,87.88,88.998,87.832,88.675,154555.0603,110.438,111.344,110.191,111.289,180022341552.73462,198.377,200.248,197.378,198.078,43090962.0523,,,,,,,,,,,,,,,,,,,,,0.5025000000000001,,,,,81.80374456703464
2018-01-17,153.847,154.579,153.616,153.483,235143.05,135.584,136.31,135.457,135.934,225026400390.62512,88.659,88.983,88.4,88.859,153125.54030000005,111.263,111.482,110.691,111.091,162765179199.21912,199.097,199.998,197.857,199.118,37271692.5145,,,,,,,,,,,,,,,,,,,,,0.5035000000000001,,,,,76.54465821992821
2018-01-18,154.312,154.437,153.11,153.483,239614.68010000003,135.931,136.047,135.183,135.369,229377560791.0158,88.858,89.02,88.371,88.548,147168.97879999998,111.091,111.129,110.491,110.817,163681790527.344,199.498,201.998,198.258,200.047,49793047.66640001,,,,,,,,,,,,,,,,,,,,,0.5039,,,,,76.54465821992821
2018-01-19,153.483,153.483,153.483,153.483,0.0,135.369,135.369,135.369,135.369,0.0,88.548,88.548,88.548,88.548,0.0,110.817,110.817,110.817,110.817,0.0,200.047,200.047,200.047,200.047,0.0,,,,,,,,,,,,,,,,,,,,,0.5044,,,,,76.54465821992821
